Date,Cluster
2021-06-08,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-20,0
2021-06-21,0
2021-06-22,0
2021-06-27,0
2021-06-28,0
2021-06-29,0
2021-07-04,0
2021-07-05,0
2021-07-06,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-18,1
2021-07-19,0
2021-07-20,0
2021-07-25,1
2021-07-26,0
2021-07-27,0
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-15,0
2021-08-16,0
2021-08-17,0
2021-08-22,0
2021-08-29,0
2021-08-30,0
2021-08-31,0
2021-09-05,0
2021-09-12,0
2021-09-13,0
2021-09-20,0
2021-09-21,0
2021-09-26,0
2021-09-27,0
2021-09-28,0
2021-10-05,0
2021-10-12,0
2021-10-18,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-31,0
2021-11-01,0
2021-11-07,0
2021-11-14,0
2021-11-16,0
2021-11-21,0
2021-11-22,0
2021-11-23,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-12,0
2021-12-13,0
2021-12-14,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-10,1
2022-01-11,0
2022-01-16,1
2022-01-17,1
2022-01-18,1
2022-01-23,1
2022-01-24,0
2022-01-25,0
2022-01-30,1
2022-01-31,1
2022-02-01,1
2022-02-06,1
2022-02-08,1
2022-02-13,1
2022-02-14,1
2022-02-15,1
2022-02-20,1
2022-02-21,1
2022-02-22,1
2022-02-27,0
2022-02-28,0
2022-03-01,0
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-20,1
2022-03-21,1
2022-03-27,1
2022-03-28,1
2022-04-03,1
2022-04-05,1
2022-04-10,1
2022-04-11,1
2022-04-12,1
2022-04-17,1
2022-04-18,1
2022-04-19,1
2022-04-24,1
2022-04-25,1
2022-04-26,1
2022-05-01,1
2022-05-03,1
2022-05-08,1
2022-05-09,0
2022-05-10,0
2022-05-15,0
2022-05-16,0
2022-05-17,1
2022-05-22,1
2022-05-23,1
2022-05-24,1
2022-05-29,1
2022-05-30,1
2022-06-05,1
2022-06-06,1
2022-06-07,1
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-26,0
2022-06-27,0
2022-06-28,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-11,1
2022-07-12,0
2022-07-18,0
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-08-01,0
2022-08-02,0
2022-08-07,0
2022-08-16,1
2022-08-21,1
2022-08-22,1
2022-08-23,1
2022-08-28,1
2022-08-29,1
2022-08-30,1
2022-09-04,1
2022-09-05,1
2022-09-06,1
2022-09-11,0
2022-09-18,0
2022-09-19,0
2022-09-20,0
2022-09-25,1
2022-09-26,0
2022-09-27,1
2022-10-02,1
2022-10-03,1
2022-10-10,1
2022-10-11,1
2022-10-16,1
2022-10-17,1
2022-10-18,1
2022-10-23,1
2022-10-24,1
2022-10-25,1
